的 de/di2/di4
浩 hao4
宏 hong2
扣 kou4
妨 fang2
涌 yong3
吟 yin2
筹 chou2
鼠 shu3
娜 nuo2/na4
躺 tang3
鹿 lu4
勋 xun1
扇 shan1/shan4
斤 jin1
抛 pao1
碧 bi4
妾 qie4
熊 xiong2
崩 beng1
疼 teng2
敲 qiao1
渔 yu2
纠 jiu1
庞 pang2
恕 shu4
暖 nuan3
澳 ao4
恒 heng2
逻 luo2
弓 gong1
挤 ji3
添 tian1
炼 lian4
晃 huang3/huang4
搬 ban1
倘 tang3
盈 ying2
湘 xiang1
肚 du3/du4
猪 zhu1
卑 bei1
苗 miao2
泄 xie4
柴 chai2
瑟 se4
瓜 gua1
茂 mao4
谦 qian1
迈 mai4
烂 lan4
弯 wan1
踏 ta4
梯 ti1
锐 rui4
赦 she4
茫 mang2
讼 song4
拳 quan2
耀 yao4
衙 ya2
禅 chan2/shan4
钻 zuan1/zuan4
峡 xia2
郁 yu4
阙 que1/que4
冤 yuan1
妄 wang4
徙 xi3
虏 lu3
耗 hao4
轨 gui3
吞 tun1
淫 yin2
虞 yu2
杖 zhang4
携 xie2
脏 zang1/zang4
汪 wang1
舅 jiu4
斥 chi4
嫂 sao3
呵 a1/he1
戚 qi1
谥 shi4
吩 fen1
斋 zhai1
宠 chong3
羞 xiu1
吊 diao4
嘛 ma
肠 chang2
肝 gan1
轿 jiao4
雕 diao1
湿 shi1
琼 qiong2
娇 jiao1
昂 ang2
弦 xian2
顷 qing3
沃 wo4
舆 yu2
猫 mao1
笼 long2
晕 yun1/yun4
潘 pan1
姻 yin1
诣 yi4
勾 gou1/gou4
碗 wan3
姿 zi1
绳 sheng2
狐 hu2
肌 ji1
渊 yuan1
雍 yong1
庸 yong1
吨 dun1/dun4
鼎 ding3
喷 pen1/pen4
姚 yao2
勉 mian3
毅 yi4
赔 pei2
靖 jing4
雇 gu4
屡 lu:3/lv3
跨 kua4
泣 qi4
催 cui1
卓 zhuo2
擦 ca1
畜 chu4/xu4
稽 ji1/qi3
纹 wen2
漏 lou4
妥 tuo3
姊 zi3
囊 nang2
饶 rao2
芬 fen1
穴 xue2
抖 dou3
姨 yi2
披 pi1
漠 mo4
旱 han4
仕 shi4
滋 zi1
乳 ru3
舌 she2
绣 xiu4
滴 di1
扁 bian3/pian1
浦 pu3
俺 an3
瘦 shou4
扯 che3
竭 jie2
惩 cheng2
枚 mei2
丫 ya1
僚 liao2
涨 zhang3/zhang4
晶 jing1
兮 xi1
誓 shi4
酬 chou2
唇 chun2
晴 qing2
疫 yi4
肿 zhong3
胖 pang4
擒 qin2
拘 ju1
粹 cui4
戎 rong2
煤 mei2
蔽 bi4
弊 bi4
饿 e4
欠 qian4
聊 liao2
禀 bing3
舱 cang1
肤 fu1
痕 hen2
缝 feng2/feng4
韵 yun4
冀 ji4
怖 bu4
鹏 peng2
痴 chi1
填 tian2
鲍 bao4
绘 hui4
糖 tang2
扭 niu3
劣 lie4
赢 ying2
缴 jiao3
巾 jin1
酷 ku4
谅 liang4
扮 ban4
贱 jian4
疆 jiang1
鹰 ying1
泊 bo2
聘 pin4
芝 zhi1
磁 ci2
诞 dan4
焚 fen2
侄 zhi2
菌 jun1/jun4
缠 chan2
拦 lan2
朴 po4/pu3
厥 jue2
纽 niu3
柯 ke1
炉 lu2
溜 liu1
抄 chao1
趁 chen4
耻 chi3
渴 ke3
衔 xian2
档 dang4
罕 han3
拼 pin1
鞭 bian1
娶 qu3
蒲 pu2
倚 yi3
秒 miao3
匠 jiang4
夸 kua1
咽 yan1/yan4/ye4
岗 gang3
逸 yi4
伞 san3
傲 ao4
挣 zheng1/zheng4
颠 dian1
寓 yu4
挖 wa1
串 chuan4
蜂 feng1
顽 wan2
渠 qu2
啥 sha2
牺 xi1
翔 xiang2
屠 tu2
巫 wu1
窝 wo1
兀 wu4/wu1
辄 zhe2
刷 shua1/shua4
址 zhi3
歼 jian1
挡 dang3/dang4
肆 si4
谒 ye4
函 han2
簿 bu4
悠 you1
昼 zhou4
饱 bao3
艳 yan4
骄 jiao1
灌 guan4
娃 wa2
寝 qin3
坠 zhui4
剥 bo1/bao1
睁 zheng1
腔 qiang1
廊 lang2
涛 tao1
鹤 he4
罩 zhao4
盆 pen2
囚 qiu2
祠 ci2
衍 yan3
扔 reng1
隋 sui2
璃 li2
帘 lian2
烛 zhu2
赌 du3
凑 cou4
冈 gang1
菩 pu2
龟 gui1
媳 xi2
眠 mian2
俘 fu2
钩 gou1
绵 mian2
袍 pao2
苟 gou3
旬 xun2
癌 ai2/yan2
耸 song3
狭 xia2
诈 zha4
陀 tuo2
姜 jiang1
後 hou4
驳 bo2
轩 xuan1
蕃 fan2/fan1
遮 zhe1
蓄 xu4
樱 ying1
玲 ling2
衫 shan1
匪 fei3
挨 ai1/ai2
巢 chao2
拆 chai1
纤 qian4/xian1
砍 kan3
胎 tai1
厮 si1
柜 gui4/ju3
哦 e2/o2/o4
壳 ke2/qiao4
擅 shan4
铭 ming2
婴 ying1
铃 ling2
嘱 zhu3
糟 zao1
棋 qi2
彪 biao1
尿 sui1/niao4
杭 hang2
硃 zhu1
茨 ci2
厨 chu2
叩 kou4
愧 kui4
饲 si4
贬 bian3
肖 xiao4/xiao1
衷 zhong1
颤 zhan4/chan4
俯 fu3
骤 zhou4
逮 dai3/dai4
逾 yu2
暮 mu4
庐 lu2
裴 pei2
媚 mei4
捧 peng3
畅 chang4
黛 dai4
喘 chuan3
矩 ju3
坊 fang1
棍 gun4
抹 mo3/mo4
胃 wei4
杆 gan1/gan3
膀 bang3/bang4/pang1/pang2
皱 zhou4
爽 shuang3
莉 li4
氧 yang3
谊 yi4
柄 bing3
栏 lan2
盒 he2
孕 yun4
躬 gong1
苑 yuan4
摘 zhai1
哼 heng1/hng
诵 song4
滩 tan1
钞 chao1
猿 yuan2
猩 xing1
傻 sha3
卵 luan3
拱 gong3
塘 tang2
毋 wu2
冢 zhong3
绢 juan4
薪 xin1
碑 bei1
挽 wan3
谭 tan2
亨 heng1
堤 di1
坟 fen2
喂 wei4
妆 zhuang1
枯 ku1
眨 zha3
盯 ding1
颈 jing3
婢 bi4
盼 pan4
棒 bang4
惶 huang2
嚷 rang3
愉 yu2
肺 fei4
棉 mian2
禧 xi3
隙 xi4
霜 shuang1
坑 keng1
煌 huang2
崖 yai2/ya2
浴 yu4
裤 ku4
惹 re3
吻 wen3
氛 fen1
臭 chou4/xiu4
吵 chao3
恳 ken3
捐 juan1
闯 chuang3
翅 chi4
懒 lan3
胶 jiao1
膜 mo2
惺 xing1
祈 qi2
舜 shun4
蜜 mi4
募 mu4
慨 kai3
冻 dong4
喉 hou2
泡 pao1/pao4
鄙 bi3
叉 cha1/cha2/cha3
亩 mu3
钗 chai1
擢 zhuo2
脆 cui4
洒 sa3
喻 yu4
瞪 deng4
窦 dou4
甜 tian2
帛 bo2
雀 qiao1/qiao3/que4
棺 guan1
矢 shi3
莽 mang3
斑 ban1
拐 guai3
浚 jun4/xun4
矮 ai3
姬 ji1
滥 lan4
筒 tong3
蓬 peng2
硕 shuo4
瞬 shun4
锅 guo1
叠 die2
帖 tie1/tie3/tie4
壶 hu2
纱 sha1
薨 hong1
垒 lei3
魁 kui2
摧 cui1
虹 hong2/jiang4
枕 zhen3
茅 mao2
俭 jian3
蝶 die2
麟 lin2
剪 jian3
凄 qi1
颂 song4
豹 bao4
俟 si4
逝 shi4
讶 ya4
庵 an1
掘 jue2
禽 qin2
昧 mei4
阎 yan2
猴 hou2
澄 cheng2/deng4
匡 kuang1
塑 su4
吁 xu1/yu4
脂 zhi1
伺 ci4/si4
匈 xiong1
雁 yan4
滞 zhi4
漆 qi1
乖 guai1
旺 wang4
傍 bang1/bang4
鸭 ya1
弼 bi4
倦 juan4
铸 zhu4
膝 xi1
颁 ban1
歧 qi2
尧 yao2
谎 huang3
攀 pan1
棵 ke1
粟 su4
劾 he2
仑 lun2
祐 you4
瞒 man2
谐 xie2
敛 lian3
颖 ying3
倡 chang4
鹅 e2
撸 lu1
峻 jun4
链 lian4
戍 shu4
歉 qian4
奠 dian4
骚 sao1
厢 xiang1
宦 huan4
栽 zai1
巷 xiang4
溢 yi4
懿 yi4
谱 pu3
裹 guo3
陌 mo4
宛 wan3
裳 chang2/shang
缚 fu2/fu4
煞 sha1/sha4
胀 zhang4
骇 hai4
璇 xuan2
脊 ji3
藤 teng2
萍 ping2
榜 bang3
兔 tu4
裙 qun2
嗯 en1/ng/en4
驴 lu:2/lv2
咒 zhou4
赚 zhuan4/zuan4
敝 bi4
厘 li2
睿 rui4
禹 yu3
辏 cou4
钉 ding1/ding4
咨 zi1
焰 yan4
筋 jin1
遁 dun4
玑 ji1
芒 mang2
芦 lu2
淳 chun2
浸 jin4
恍 huang3
讽 feng4/feng3
脖 bo2
盲 mang2
稷 ji4
詹 zhan1
蠢 chun3
淋 lin4/lin2
怯 qie4
吼 hou3
撑 cheng1
酌 zhuo2
矗 chu4
泼 po1
葡 pu2
枉 wang3
沾 zhan1
窜 cuan4
哄 hong1/hong3/hong4
竖 shu4
阐 chan3
琳 lin2
贰 er4
婿 xu4
皋 gao1
刹 cha4/sha1
淌 tang3
账 zhang4
粘 nian2/zhan1
淹 yan1
勘 kan1
眷 juan4
狮 shi1
莎 sha1/suo1
祷 dao3
歪 wai1
唉 ai1/ai4
谬 miu4
躯 qu1
憾 han4
栖 qi1/xi1
挪 nuo2
犬 quan3
刮 gua1
裸 luo3
邵 shao4
嘻 xi1
钓 diao4
摊 tan1
蝗 huang2
侨 qiao2
梗 geng3
掏 tao1
妮 ni1
娥 e2
剿 chao1/jiao3
秉 bing3
堵 du3
菊 ju2
瑶 yao2
拓 ta4/tuo4
窄 zhai3
斌 bin1
脾 pi2
爪 zhua3/zhao3
戮 lu4
钧 jun1
馈 kui4
暇 xia2
杏 xing4
淑 shu1
啸 xiao4
丸 wan2
炭 tan4
屁 pi4
凰 huang2
靡 mi2/mi3
藉 ji2/jie4
瞎 xia1
虔 qian2
魄 po4
拂 fu2
萄 tao2
笃 du3
瘤 liu2
佑 you4
怠 dai4
鸦 ya1
睹 du3
贩 fan4
怔 zheng1
雌 ci2
斧 fu3
窥 kui1
潭 tan2
圳 zhen4
厦 sha4/xia4
毙 bi4
玫 mei2
驿 yi4
刃 ren4
饼 bing3
卸 xie4
搁 ge1
冥 ming2
绅 shen1
框 kuang4
倪 ni2
秃 tu1
陇 long3
羌 qiang1
嵩 song1
叮 ding1
铮 zheng1
妓 ji4
颍 ying3
愣 leng4
辜 gu1
砸 za2
揖 yi1
恃 shi4
晌 shang3
剖 pou1
莺 ying1
褐 he4
蒸 zheng1
劈 pi1/pi3
哨 shao4
兑 dui4
缄 jian1
呜 wu1
壤 rang3
撕 si1
咳 hai1/ke2
羡 xian4
晏 yan4
诬 wu1
砖 zhuan1
恤 xu4
掷 zhi4
摔 shuai1
鸾 luan2
棠 tang2
喃 nan2
涕 ti4
譬 pi4
滨 bin1
溶 rong2
巩 gong3
蚀 shi2
晰 xi1
堕 duo4
舶 bo2
庇 bi4
瓷 ci2
啼 ti2
虐 nue4
桩 zhuang1
绑 bang3
珊 shan1
绥 sui2
嘲 chao2/zhao1
瑰 gui1
梳 shu1
匿 ni4
讳 hui4
涵 han2
篮 lan2
喀 ka1
妒 du4
敷 fu1
耽 dan1
哑 ya1/ya3
桶 tong3
梢 shao1
绛 jiang4
纬 wei3
垣 yuan2
藩 fan1
坎 kan3
稣 su1
笛 di2
晁 chao2
贿 hui4
焕 huan4
喇 la1/la3
暑 shu3
掀 xian1
膊 bo2
栋 dong4
厄 e4
谴 qian3
肢 zhi1
彰 zhang1
胤 yin4
搏 bo2
晦 hui4
哎 ai1
笨 ben4
钥 yao4/yue4
旷 kuang4
兜 dou1
咕 gu1
帆 fan1
株 zhu1
屑 xie4
躁 zao4
谟 mo2
赎 shu2
惭 can2
僵 jiang1
涯 ya2
荩 jin4
轴 zhou2/zhu2
挫 cuo4
邢 xing2
筵 yan2
奎 kui2
耿 geng3
佣 yong1/yong4
凿 zao2/zuo4
碌 lu4
绰 chuo4/chao1
娟 juan1
蹈 dao3
陡 dou3
腺 xian4
邱 qiu1
奚 xi1
啡 fei1
捏 nie1
涅 nie4
瞻 zhan1
倩 qian4
酰 xian1
诡 gui3
窍 qiao4
奢 she1
诘 jie2
挟 jia1/xie2
窑 yao2
盏 zhan3
诰 gao4
匀 yun2
谍 die2
淘 tao2
蚁 yi3
汴 bian4
魅 mei4
踢 ti1
藻 zao3
娱 yu2
栗 li4
怡 yi2
灿 can4
稻 dao4
讫 qi4
朽 xiu3
坤 kun1
棚 peng2
槐 huai2
蕴 yun4
哟 yo/yo1
饷 xiang3
沧 cang1
醇 chun2
螺 luo2
垄 long3
骆 luo4
煮 zhu3
拙 zhuo2/zhuo1
桐 tong2
芙 fu2
衬 chen4
沼 zhao3
馨 xin1
甸 dian4
畔 pan4
樊 fan2
侮 wu3
蹲 dun1
蚕 can2
辣 la4
搅 jiao3
觅 mi4
椎 chui2/zhui1
驼 tuo2
嫩 nen4
弧 hu2
褚 chu3
矫 jiao3
趟 tang4
谣 yao2
敞 chang3
霉 mei2
蓉 rong2
澹 dan4/tan2
喧 xuan1
绸 chou2
榻 ta4
咏 yong3
纺 fang3
蜡 la4
殆 dai4
宵 xiao1
匙 chi2/shi
孽 nie4
荫 yin4/yin1
狡 jiao3
冶 ye3
迦 jia1
谜 mi2
腥 xing1
鄂 e4/E4
陋 lou4
噢 o1
滔 tao1
稼 jia4
幢 chuang2/zhuang4
罐 guan4
绞 jiao3
沛 pei4
熬 ao1/ao2
膏 gao1
哇 wa1/wa
肾 shen4
姥 lao3/mu3
卦 gua4
稚 zhi4
塌 ta1
汲 ji2
哗 hua1/hua2
沮 ju3
赂 lu4
坝 ba4
捆 kun3
挠 nao2
咎 jiu4
磕 ke1
遏 e4
赃 zang1
嗽 sou4
梨 li2
彬 bin1
芯 xin1
侣 lu:3/lv3
谑 xue4
苹 pin2/ping2
捞 lao1
叭 ba1
捣 dao3
浊 zhuo2
糕 gao1
迄 qi4
岑 cen2
辐 fu2
鞍 an1
嘿 hei1
灼 zhuo2
璋 zhang1
敖 ao2
俏 qiao4
遽 ju4
恚 hui4
邸 di3
鳎 ta3
咖 ka1
伽 qie2/ga1
裘 qiu2
啤 pi2
晒 shai4
闺 gui1
拣 jian3
嗟 jie1/jue1
懈 xie4
忿 fen4
旭 xu4
讥 ji1
赈 zhen4
浆 jiang1/jiang4
跋 ba2
愕 e4
旌 jing1
丐 gai4
颐 yi2
孰 shu2
嫉 ji2
螅 xi1
婉 wan3
畴 chou2
删 shan1
寞 mo4
韶 shao2
渭 wei4
瑜 yu2
砂 sha1
缕 lu:3/lv3
泌 bi4/mi4
闰 run4
灶 zao4
霄 xiao1
徵 zheng1/zhi3
逗 dou4
沸 fei4
咧 lie1/lie3
裔 yi4
眩 xuan4
僻 pi4
簇 cu4
褒 bao1
萌 meng2
璧 bi4
膨 peng2
莹 ying2
酥 su1
蹄 ti2
沫 mo4
荽 sui1
亟 ji2/qi4
憎 zeng1
荧 ying2
颊 jia2
霆 ting2
陨 yun3
踩 cai3
牟 mou2
锻 duan4
烁 shuo4
斟 zhen1
汁 zhi1
睦 mu4
晖 hui1
札 zha2
篷 peng2
腕 wan4
鳞 lin2
诫 jie4
菱 ling2
痒 yang3
鳌 ao2
胳 ge1
缅 mian3
铎 duo2
黜 chu4
枣 zao3
剌 la2/la4
蔑 mie4
悼 dao4
洽 qia4
泻 xie4
凳 deng4
皓 hao4
雯 wen2
叱 chi4
膳 shan4
诀 jue2
湛 zhan4
衅 xin4
叨 dao1/tao1
茎 jing1
沦 lun2
牡 mu3
阮 ruan3
纾 shu1
祚 zuo4
泳 yong3
恪 ke4
悖 bei4
摹 mo2
岐 qi2
鸳 yuan1
迭 die2
歹 dai3
奕 yi4
冕 mian3
垫 dian4
狸 li2
偃 yan3
襟 jin1
诧 cha4
翘 qiao2/qiao4
肇 zhao4
逵 kui2
拯 zheng3
噪 zao4
漕 cao2
龋 qu3
辕 yuan2
颉 xie2/jie2
俾 bi3
冉 ran3
嗓 sang3
嚼 jiao2/jue2
炒 chao3
攸 you1
竿 gan1
虾 xia1
铅 qian1
贮 zhu4
栅 zha4/shan1
邹 zou1
匣 xia2
锤 chui2
撇 pie1/pie3
荨 qian2
蔬 shu1
偕 jie1/xie2
缸 gang1
浇 jiao1
鲸 jing1
佥 qian1
拧 ning2/ning3/ning4
搂 lou1/lou3
嘶 si1
徊 huai2
洌 lie4
岚 lan2
逛 guang4
燥 zao4
渗 shen4
溺 ni4/niao4
胧 long2
豢 huan4
镑 bang4
尬 ga4
粤 yue4
棘 ji2
巍 wei1
惮 dan4
倭 wo1
廖 liao4
蛟 jiao1
檀 tan2
孜 zi1
嵌 qian4
臧 zang1
毓 yu4
澜 lan2
钮 niu3
揽 lan3
汀 ting1
倏 shu1
帷 wei2
绶 shou4
坪 ping2
骁 xiao1
绮 qi3
缀 zhui4
缎 duan4
弩 nu3
蹦 beng4
髦 mao2
翟 di2/zhai2
俸 feng4
瘢 ban1
瞥 pie1
籓 ban1
痪 huan4
嗜 shi4
屿 yu3
椋 liang2
帜 zhi4
绒 rong2
汹 xiong1
麽 mo2/me
乍 zha4
祁 qi2
禾 he2
廓 kuo4
僭 jian4
皂 zao4
叟 sou3
哺 bu1/bu3
夭 yao1
烤 kao3
蛛 zhu1
蕉 jiao1
挹 yi4
榴 liu2
驯 xun2/xun4
峭 qiao4
闵 min3
畿 ji1
琐 suo3
伶 ling2
慷 kang1
檐 yan2
靴 xue1
杉 sha1/shan1
惕 ti4
辍 chuo4
睢 sui1
琦 qi2
炕 kang4
侈 chi3
飨 xiang3
煎 jian1
泾 jing1
樵 qiao2
瞄 miao2
酿 niang4
蝇 ying2
醋 cu4
喽 lou2/lou
癫 dian1
俞 yu2
羁 ji1
梭 suo1
潞 lu4
逞 cheng3
酋 qiu2
玺 xi3
葱 cong1
猓 guo3
凹 ao1
扼 e4
涡 guo1/wo1
絮 xu4
窟 ku1
澡 zao3
欤 yu2
秽 hui4
鞠 ju1
麾 hui1
曜 yao4
晤 wu4
萝 luo2
佟 tong2
缉 qi1/ji1
甩 shuai3
颓 tui2
沂 yi2
纂 zuan3
沁 qin4
郝 hao3
胥 xu1
镖 biao1
牒 die2
绫 ling2
苛 ke1
汾 fen2
埂 geng3
豁 hua2/huo1/huo4
谤 bang4
祗 zhi1
埽 sao4
琛 chen1
芽 ya2
俚 li3
鞘 qiao4
矜 jin1
掖 ye1/ye4
煜 yu4
呕 ou3
琢 zhuo2
俨 yan3
缔 di4
呐 na4/ne/na
惫 bei4
幌 huang3
肴 yao2
骏 jun4
渎 du2
笺 jian1
锭 ding4
缪 miao4/mou2
诲 hui4
聂 nie4
绷 beng1/beng3
毯 tan3
扒 ba1/pa2
鸯 yang1
撼 han4
炀 yang2
蔚 wei4/yu4
梧 wu2
戟 ji3
琅 lang2
悍 han4
闾 lu:2/lv2
甥 sheng1
鹊 que4
阀 fa2
缆 lan4/lan3
荀 xun2
闽 min3
粥 zhou1
嗅 xiu4
啵 bo
簦 deng1
斛 hu2
溯 su4
垃 la1
彝 yi2
尴 gan1
迥 jiong3
圾 ji1
瞅 chou3
轼 shi4
怼 dui4
鸽 ge1
隘 ai4
亢 kang4
氐 di1/di3
渺 miao3
髓 sui3
蔓 man2/man4
阑 lan2
氢 qing1
穑 se4
贻 yi2
黯 an4
纶 lun2
辇 nian3
胄 zhou4
沐 mu4
笠 li4
崎 qi2
粪 fen4
霖 lin2
芸 yun2
碟 die2
兢 jing1
椒 jiao1
迳 jing4
鹃 juan1
棱 leng2
鬓 bin4
揉 rou2
拚 pan4/pin1
嚣 xiao1
徘 pai2
袄 ao3
挚 zhi4
耆 qi2
琉 liu2
隅 yu2
沪 hu4
谩 man2/man4
朦 meng2
戳 chuo1
茵 yin1
腻 ni4
疮 chuang1
垦 ken3
檄 xi2
碳 tan4
蝉 chan2
娄 lou2
阜 fu4
蟹 xie4
琏 lian3
垮 kua3
诙 hui1
嘟 du1
觯 zhi4
趾 zhi3
幔 man4
捡 jian3
赍 ji1
啪 pa1
懦 nuo4
咦 yi2
挛 luan2
炳 bing3
酣 han1
狈 bei4
恣 zi4
铩 sha1
箫 xiao1
嗡 weng1
凛 lin3
簧 huang2
竺 zhu2
榆 yu2
圭 gui1
窘 jiong3
笙 sheng1
揣 chuai1/chuai3
斐 fei3
伲 ni4
咯 ge1/lo/luo4
婶 shen3
嫡 di2
绎 yi4
梓 zi3
鞅 yang3/yang1
涩 se4
翊 yi4
褂 gua4
袜 wa4
釉 you4
迂 yu1
悯 min3
扛 gang1/kang2
侃 kan3
罔 wang3
饬 chi4
唷 yo1
硫 liu2
蠕 ru2
厕 ce4
祯 zhen1
氯 lu:4/lv4
琪 qi2
纣 zhou4
宸 chen2
墟 xu1
韬 tao1
蕊 rui3
耄 mao4
捍 han4
萎 wei1/wei3
涤 di2
砦 zhai4
懊 ao4
峨 e2
浣 huan4
蠲 juan1
潼 tong2
凸 tu1
棕 zong1
攘 rang3
徇 xun4
礁 jiao1
炯 jiong3
僖 xi1
龚 gong1
帧 zheng4/zhen1
粲 can4
酱 jiang4
忖 cun3
臾 yu2
栈 zhan4
桨 jiang3
唾 tuo4
芜 wu2
翩 pian1
喔 o1/wo1
宥 you4
揪 jiu1
瘫 tan1
孚 fu2
曳 ye4
咚 dong1
赡 shan4
盔 kui1
泗 si4
瑾 jin3
熏 xun1
侥 jiao3/yao2
聋 long2
渲 xuan4
篱 li2
毡 zhan1
卤 lu3
汰 tai4
衮 gun3
柬 jian3
遐 xia2
羲 xi1
寥 liao2
钊 zhao1
拇 mu3
镶 xiang1
匾 bian3/pian2
膺 ying1
昊 hao4
吱 zi1
炽 chi4
奄 yan1/yan3
罹 li2
伎 ji4
墅 shu4
蓟 ji4
庾 yu3
渥 wo4
肮 ang1
拷 kao3
膛 tang2
缮 shan4
嘀 di2/di1
濮 pu2
佞 ning4
氨 an1
闸 zha2
郢 ying3
扈 hu4
壕 hao2
骠 piao4/biao1
脯 fu3/pu2
酝 yun4
瓣 ban4
拽 ye4/zhuai1/zhuai4
铀 you2
壑 he4
狩 shou4
忒 te4/tui1
猾 hua2
嗤 chi1
洹 huan2
漳 zhang1
疤 ba1
椭 tuo3
瑛 ying1
夔 kui2
绽 zhan4
摺 zhe2
槛 jian4/kan3
锥 zhui1
浏 liu2
鬟 huan2
氖 nai3
凇 song1
锣 luo2
幡 fan1
蚊 wen2
孺 ru2
犀 xi1
擎 qing2
蹋 ta4
慑 she4
咋 ze2/zha4/za3
熄 xi1
楷 kai3
烫 tang4
怅 chang4
丕 pi1
拴 shuan1
磷 lin2
圃 pu3
涧 jian4
肘 zhou3
堑 qian4
矶 ji1
迩 er3
瞿 ju4/qu2
淄 zi1
槽 cao2
袅 niao3
缗 min2
岱 dai4
饵 er3
谗 chan2
眯 mi1/mi3
桧 gui4
嘎 ga2/ga1
鳍 qi2
笏 hu4
鄴 ye4
殴 ou1
篡 cuan4
呻 shen1
谪 zhe2
潇 xiao1
瑚 hu2
葫 hu2
琶 pa2
蕙 hui4
鲤 li3
嫔 pin2
谌 chen2
驹 ju1
晟 sheng4
赣 gan4
苇 wei3
斡 wo4
扳 ban1/pan1
笆 ba1
驸 fu4
掣 che4
寐 mei4
渤 bo2
弛 chi2
爰 yuan2
沽 gu1
甄 zhen1
猷 you2
恁 ren4/nin2
榷 que4
谛 di4
刁 diao1
埔 pu3
苔 tai1/tai2
踉 liang2/liang4
趴 pa1
焘 dao4/tao1
踱 duo2
椤 luo2
辙 che4/zhe2
雹 bao2
垢 gou4
稹 zhen3
蚂 ma1/ma3/ma4
芍 shao2
嫣 yan1
蝴 hu2
峙 zhi4
殉 xun4
俎 zu3
崛 jue2
拭 shi4
蛙 wa1
谘 zi1
胪 lu2
溅 jian4
嬉 xi1
嗔 chen1
弁 bian4
犁 li2
噬 shi4
蟆 ma2/ma
哮 xiao1
偈 ji4/jie2
嘘 xu1
臻 zhen1
褥 ru4
邕 yong1
褪 tun4/tui4
靶 ba3
砰 peng1
僮 tong2/zhuang4
迨 dai4
咄 duo1
娅 ya4
觑 qu4
擞 sou3
驭 yu4
痰 tan2
暨 ji4
痹 bi4
炊 chui1
裨 bi4/pi2
舷 xian2
磐 pan2
勺 shao2
碱 jian3
滕 teng2
嫖 piao2
簪 zan1
霎 sha4
嗳 ai3/ai4
谄 chan3
堰 yan4
诠 quan2
腮 sai1
蟠 pan2
橡 xiang4
彗 hui4
搀 chan1
馔 zhuan4
紊 wen3/wen4
迸 beng4
噜 lu1
酢 zuo4
拗 ao4/niu4
簟 dian4
驮 duo4/tuo2
笥 si4
磺 huang2
抡 lun1/lun2
坞 wu4
颅 lu2
禺 yu2
悴 cui4
臀 tun2
嫦 chang2
辔 pei4
捶 chui2
逋 bu1
钡 bei4
恺 kai3
谀 yu2
惚 hu1
髯 ran2
盎 ang4
珀 po4
秸 jie1
晔 ye4
蛔 hui2
屎 shi3
佃 dian4
吭 hang2/keng1
杞 qi3
钰 yu4
夙 su4
怂 song3
噶 ga2
岔 cha4
赁 lin4
濠 hao2
讹 e2
袱 fu2
呃 e4/e
恸 tong4
攒 cuan2/zan3
拈 nian1
殡 bin4
笾 bian1
杠 gang1/gang4
胫 jing4
筠 yun2/jun1
踌 chou2
钝 dun4
铝 lu:3/lv3
銮 luan2
狻 suan1
牍 du2
妫 gui1
肪 fang2
涣 huan4
溉 gai4
枷 jia1
糜 mi2
麓 lu4
胰 yi2
蟾 chan2
枭 xiao1
葵 kui2
剔 ti1
贲 ben1/bi4
铨 quan2
谧 mi4
骡 luo2
掳 lu3
薇 wei1
嬷 ma1/mo2
乓 pang1
氓 mang2/meng2
忻 xin1
钙 gai4
窖 jiao4
谔 e4
婪 lan2
椿 chun1/chun2
煽 shan1
蜕 tui4
蹙 cu4
廪 lin3
潦 lao3/liao2
惰 duo4
烹 peng1
偎 wei1
疚 jiu4
撩 liao1/liao2
砌 qi4
睬 cai3
咙 long2
躇 chu2
磅 bang4/pang2
桀 jie2
瘟 wen1
虢 guo2
胚 pei1
绊 ban4
诩 xu3
芭 ba1
锯 ju1/ju4
栓 shuan1
烙 lao4
崭 zhan3
谙 an1
茄 qie2
钏 chuan4
吝 lin4
纨 wan2
涓 juan1
逍 xiao1
绯 fei1
湮 yan1/yin1
薰 xun1
毗 pi2
傥 tang3
瀛 ying2
滤 lu:4/lv4
熔 rong2
讷 ne4
笞 chi1
鞫 ju1
孛 bei4/bo2
溥 pu3
湟 huang2
淀 dian4
聿 yu4
赘 zhui4
橱 chu2
匕 bi1/bi3
钜 ju4
抒 shu1
衢 qu2
萃 cui4
鹦 ying1
郏 jia2
茸 rong2
渚 zhu3
佯 yang2
嗦 suo1
筛 shai1
酶 mei2
峦 luan2
掾 yuan4
濒 bin1
娼 chang1
觥 gong1
捎 shao1
绾 wan3
跄 qiang1/qiang4
鹘 hu2/gu3
忏 chan4
鸠 jiu1
翌 yi4
涿 zhuo1
钤 qian2
捻 nian3
窒 zhi4
烘 hong1
韧 ren4
鸥 ou1
漱 shu4
炙 zhi4
匮 kui4
涫 guan4
楞 leng2
冗 rong3
纥 ge1/he2
蓦 mo4
嗨 hai1/hei1
蔼 ai3
穹 qiong2
蛾 e2
铲 chan3
澈 che4
柩 jiu4
茜 qian4
钺 yue4
踵 zhong3
胺 an4
谖 xuan1
弑 shi4
跷 qiao1
忤 wu3
蜘 zhi1
枫 feng1
娴 xian2
卞 bian4
蠓 meng3
辂 lu4
诮 qiao4
抟 tuan2
殃 yang1
筷 kuai4
衾 qin1
陟 zhi4
叁 san1
侬 nong2
刍 chu2
搓 cuo1
